# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-24 18:07:02 -05:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12092000 PUYALLUP RIVER NEAR ELECTRON, WA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 12092000
#    TS_ID       Parameter Description
#    150830      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	tz_cd	Flux	Letter
USGS	12092000	2021-02-24 21:15	PST	515	A
USGS	12092000	2021-02-24 21:30	PST	522	A
USGS	12092000	2021-02-24 21:45	PST	509	A
USGS	12092000	2021-02-24 22:00	PST	515	A
USGS	12092000	2021-02-24 22:15	PST	509	A
USGS	12092000	2021-02-24 22:30	PST	522	A
USGS	12092000	2021-02-24 22:45	PST	509	A
USGS	12092000	2021-02-24 23:00	PST	503	A
USGS	12092000	2021-02-24 23:15	PST	509	A
USGS	12092000	2021-02-24 23:30	PST	509	A
USGS	12092000	2021-02-24 23:45	PST	503	A
USGS	12092000	2021-02-25 00:00	PST	497	A
USGS	12092000	2021-02-25 00:15	PST	497	A
USGS	12092000	2021-02-25 00:30	PST	509	A
USGS	12092000	2021-02-25 00:45	PST	497	A
USGS	12092000	2021-02-25 01:00	PST	497	A
USGS	12092000	2021-02-25 01:15	PST	497	A
USGS	12092000	2021-02-25 01:30	PST	503	A
USGS	12092000	2021-02-25 01:45	PST	497	A
USGS	12092000	2021-02-25 02:00	PST	497	A
USGS	12092000	2021-02-25 02:15	PST	503	A
USGS	12092000	2021-02-25 02:30	PST	503	A
USGS	12092000	2021-02-25 02:45	PST	503	A
USGS	12092000	2021-02-25 03:00	PST	503	A
USGS	12092000	2021-02-25 03:15	PST	503	A
USGS	12092000	2021-02-25 03:30	PST	497	A
USGS	12092000	2021-02-25 03:45	PST	503	A
USGS	12092000	2021-02-25 04:00	PST	491	A
USGS	12092000	2021-02-25 04:15	PST	497	A
USGS	12092000	2021-02-25 04:30	PST	497	A
USGS	12092000	2021-02-25 04:45	PST	497	A
USGS	12092000	2021-02-25 05:00	PST	503	A
USGS	12092000	2021-02-25 05:15	PST	509	A
USGS	12092000	2021-02-25 05:30	PST	509	A
USGS	12092000	2021-02-25 05:45	PST	515	A
USGS	12092000	2021-02-25 06:00	PST	509	A
USGS	12092000	2021-02-25 06:15	PST	522	A
USGS	12092000	2021-02-25 06:30	PST	522	A
USGS	12092000	2021-02-25 06:45	PST	515	A
USGS	12092000	2021-02-25 07:00	PST	515	A
USGS	12092000	2021-02-25 07:15	PST	509	A
USGS	12092000	2021-02-25 07:30	PST	515	A
USGS	12092000	2021-02-25 07:45	PST	509	A
USGS	12092000	2021-02-25 08:00	PST	522	A
USGS	12092000	2021-02-25 08:15	PST	509	A
USGS	12092000	2021-02-25 08:30	PST	515	A
USGS	12092000	2021-02-25 08:45	PST	522	A
USGS	12092000	2021-02-25 09:00	PST	522	A
USGS	12092000	2021-02-25 09:15	PST	509	A
USGS	12092000	2021-02-25 09:30	PST	509	A
USGS	12092000	2021-02-25 09:45	PST	503	A
USGS	12092000	2021-02-25 10:00	PST	491	A
USGS	12092000	2021-02-25 10:15	PST	509	A
USGS	12092000	2021-02-25 10:30	PST	509	A
USGS	12092000	2021-02-25 10:45	PST	509	A
USGS	12092000	2021-02-25 11:00	PST	509	A
USGS	12092000	2021-02-25 11:15	PST	503	A
USGS	12092000	2021-02-25 11:30	PST	503	A
USGS	12092000	2021-02-25 11:45	PST	503	A
USGS	12092000	2021-02-25 12:00	PST	503	A
USGS	12092000	2021-02-25 12:15	PST	497	A
USGS	12092000	2021-02-25 12:30	PST	509	A
USGS	12092000	2021-02-25 12:45	PST	503	A
USGS	12092000	2021-02-25 13:00	PST	503	A
USGS	12092000	2021-02-25 13:15	PST	509	A
USGS	12092000	2021-02-25 13:30	PST	515	A
USGS	12092000	2021-02-25 13:45	PST	515	A
USGS	12092000	2021-02-25 14:00	PST	503	A
USGS	12092000	2021-02-25 14:15	PST	503	A
USGS	12092000	2021-02-25 14:30	PST	497	A
USGS	12092000	2021-02-25 14:45	PST	509	A
USGS	12092000	2021-02-25 15:00	PST	503	A
USGS	12092000	2021-02-25 15:15	PST	509	A
USGS	12092000	2021-02-25 15:30	PST	503	A
USGS	12092000	2021-02-25 15:45	PST	503	A
USGS	12092000	2021-02-25 16:00	PST	509	A
USGS	12092000	2021-02-25 16:15	PST	491	A
USGS	12092000	2021-02-25 16:30	PST	497	A
USGS	12092000	2021-02-25 16:45	PST	497	A
USGS	12092000	2021-02-25 17:00	PST	497	A
USGS	12092000	2021-02-25 17:15	PST	491	A
USGS	12092000	2021-02-25 17:30	PST	497	A
USGS	12092000	2021-02-25 17:45	PST	497	A
USGS	12092000	2021-02-25 18:00	PST	497	A
USGS	12092000	2021-02-25 18:15	PST	485	A
USGS	12092000	2021-02-25 18:30	PST	491	A
USGS	12092000	2021-02-25 18:45	PST	491	A
USGS	12092000	2021-02-25 19:00	PST	491	A
USGS	12092000	2021-02-25 19:15	PST	485	A
USGS	12092000	2021-02-25 19:30	PST	478	A
USGS	12092000	2021-02-25 19:45	PST	473	A
USGS	12092000	2021-02-25 20:00	PST	485	A
USGS	12092000	2021-02-25 20:15	PST	473	A
USGS	12092000	2021-02-25 20:30	PST	467	A
USGS	12092000	2021-02-25 20:45	PST	473	A
USGS	12092000	2021-02-25 21:00	PST	485	A
USGS	12092000	2021-02-25 21:15	PST	473	A
USGS	12092000	2021-02-25 21:30	PST	473	A
USGS	12092000	2021-02-25 21:45	PST	473	A
USGS	12092000	2021-02-25 22:00	PST	473	A
USGS	12092000	2021-02-25 22:15	PST	467	A
USGS	12092000	2021-02-25 22:30	PST	478	A
USGS	12092000	2021-02-25 22:45	PST	478	A
USGS	12092000	2021-02-25 23:00	PST	473	A
USGS	12092000	2021-02-25 23:15	PST	467	A
USGS	12092000	2021-02-25 23:30	PST	473	A
USGS	12092000	2021-02-25 23:45	PST	478	A
USGS	12092000	2021-02-26 00:00	PST	478	A
USGS	12092000	2021-02-26 00:15	PST	485	A
USGS	12092000	2021-02-26 00:30	PST	473	A
USGS	12092000	2021-02-26 00:45	PST	485	A
USGS	12092000	2021-02-26 01:00	PST	478	A
USGS	12092000	2021-02-26 01:15	PST	485	A
USGS	12092000	2021-02-26 01:30	PST	473	A
USGS	12092000	2021-02-26 01:45	PST	478	A
USGS	12092000	2021-02-26 02:00	PST	485	A
USGS	12092000	2021-02-26 02:15	PST	478	A
USGS	12092000	2021-02-26 02:30	PST	491	A
USGS	12092000	2021-02-26 02:45	PST	491	A
USGS	12092000	2021-02-26 03:00	PST	485	A
USGS	12092000	2021-02-26 03:15	PST	485	A
USGS	12092000	2021-02-26 03:30	PST	485	A
USGS	12092000	2021-02-26 03:45	PST	491	A
USGS	12092000	2021-02-26 04:00	PST	491	A
USGS	12092000	2021-02-26 04:15	PST	491	A
USGS	12092000	2021-02-26 04:30	PST	485	A
USGS	12092000	2021-02-26 04:45	PST	478	A
USGS	12092000	2021-02-26 05:00	PST	485	A
USGS	12092000	2021-02-26 05:15	PST	485	A
USGS	12092000	2021-02-26 05:30	PST	473	A
USGS	12092000	2021-02-26 05:45	PST	478	A
USGS	12092000	2021-02-26 06:00	PST	497	A
USGS	12092000	2021-02-26 06:15	PST	473	A
USGS	12092000	2021-02-26 06:30	PST	467	A
USGS	12092000	2021-02-26 06:45	PST	461	A
USGS	12092000	2021-02-26 07:00	PST	467	A
USGS	12092000	2021-02-26 07:15	PST	455	A
USGS	12092000	2021-02-26 07:30	PST	461	A
USGS	12092000	2021-02-26 07:45	PST	461	A
USGS	12092000	2021-02-26 08:00	PST	467	A
USGS	12092000	2021-02-26 08:15	PST	449	A
USGS	12092000	2021-02-26 08:30	PST	449	A
USGS	12092000	2021-02-26 08:45	PST	455	A
USGS	12092000	2021-02-26 09:00	PST	461	A
USGS	12092000	2021-02-26 09:15	PST	443	A
USGS	12092000	2021-02-26 09:30	PST	455	A
USGS	12092000	2021-02-26 09:45	PST	449	A
USGS	12092000	2021-02-26 10:00	PST	449	A
USGS	12092000	2021-02-26 10:15	PST	449	A
USGS	12092000	2021-02-26 10:30	PST	449	A
USGS	12092000	2021-02-26 10:45	PST	455	A
USGS	12092000	2021-02-26 11:00	PST	449	A
USGS	12092000	2021-02-26 11:15	PST	443	A
USGS	12092000	2021-02-26 11:30	PST	443	A
USGS	12092000	2021-02-26 11:45	PST	455	A
USGS	12092000	2021-02-26 12:00	PST	449	A
USGS	12092000	2021-02-26 12:15	PST	449	A
USGS	12092000	2021-02-26 12:30	PST	455	A
USGS	12092000	2021-02-26 12:45	PST	449	A
USGS	12092000	2021-02-26 13:00	PST	449	A
USGS	12092000	2021-02-26 13:15	PST	455	A
USGS	12092000	2021-02-26 13:30	PST	449	A
USGS	12092000	2021-02-26 13:45	PST	443	A
USGS	12092000	2021-02-26 14:00	PST	443	A
USGS	12092000	2021-02-26 14:15	PST	432	A
USGS	12092000	2021-02-26 14:30	PST	443	A
USGS	12092000	2021-02-26 14:45	PST	438	A
USGS	12092000	2021-02-26 15:00	PST	449	A
USGS	12092000	2021-02-26 15:15	PST	443	A
USGS	12092000	2021-02-26 15:30	PST	443	A
USGS	12092000	2021-02-26 15:45	PST	438	A
USGS	12092000	2021-02-26 16:00	PST	443	A
USGS	12092000	2021-02-26 16:15	PST	443	A
USGS	12092000	2021-02-26 16:30	PST	438	A
USGS	12092000	2021-02-26 16:45	PST	438	A
USGS	12092000	2021-02-26 17:00	PST	443	A
USGS	12092000	2021-02-26 17:15	PST	432	A
USGS	12092000	2021-02-26 17:30	PST	438	A
USGS	12092000	2021-02-26 17:45	PST	438	A
USGS	12092000	2021-02-26 18:00	PST	426	A
USGS	12092000	2021-02-26 18:15	PST	432	A
USGS	12092000	2021-02-26 18:30	PST	421	A
USGS	12092000	2021-02-26 18:45	PST	426	A
USGS	12092000	2021-02-26 19:00	PST	426	A
USGS	12092000	2021-02-26 19:15	PST	432	A
USGS	12092000	2021-02-26 19:30	PST	432	A
USGS	12092000	2021-02-26 19:45	PST	426	A
USGS	12092000	2021-02-26 20:00	PST	421	A
USGS	12092000	2021-02-26 20:15	PST	421	A
USGS	12092000	2021-02-26 20:30	PST	426	A
USGS	12092000	2021-02-26 20:45	PST	421	A
USGS	12092000	2021-02-26 21:00	PST	426	A
USGS	12092000	2021-02-26 21:15	PST	421	A
USGS	12092000	2021-02-26 21:30	PST	415	A
USGS	12092000	2021-02-26 21:45	PST	415	A
USGS	12092000	2021-02-26 22:00	PST	415	A
USGS	12092000	2021-02-26 22:15	PST	421	A
USGS	12092000	2021-02-26 22:30	PST	415	A
USGS	12092000	2021-02-26 22:45	PST	415	A
USGS	12092000	2021-02-26 23:00	PST	421	A
USGS	12092000	2021-02-26 23:15	PST	421	A
USGS	12092000	2021-02-26 23:30	PST	410	A
USGS	12092000	2021-02-26 23:45	PST	415	A
USGS	12092000	2021-02-27 00:00	PST	415	A
USGS	12092000	2021-02-27 00:15	PST	415	A
USGS	12092000	2021-02-27 00:30	PST	415	A
USGS	12092000	2021-02-27 00:45	PST	410	A
USGS	12092000	2021-02-27 01:00	PST	404	A
USGS	12092000	2021-02-27 01:15	PST	404	A
USGS	12092000	2021-02-27 01:30	PST	415	A
USGS	12092000	2021-02-27 01:45	PST	410	A
USGS	12092000	2021-02-27 02:00	PST	404	A
USGS	12092000	2021-02-27 02:15	PST	404	A
USGS	12092000	2021-02-27 02:30	PST	404	A
USGS	12092000	2021-02-27 02:45	PST	394	A
USGS	12092000	2021-02-27 03:00	PST	399	A
USGS	12092000	2021-02-27 03:15	PST	399	A
USGS	12092000	2021-02-27 03:30	PST	394	A
USGS	12092000	2021-02-27 03:45	PST	394	A
USGS	12092000	2021-02-27 04:00	PST	394	A
USGS	12092000	2021-02-27 04:15	PST	394	A
USGS	12092000	2021-02-27 04:30	PST	399	A
USGS	12092000	2021-02-27 04:45	PST	388	A
USGS	12092000	2021-02-27 05:00	PST	383	A
USGS	12092000	2021-02-27 05:15	PST	388	A
USGS	12092000	2021-02-27 05:30	PST	394	A
USGS	12092000	2021-02-27 05:45	PST	388	A
USGS	12092000	2021-02-27 06:00	PST	383	A
USGS	12092000	2021-02-27 06:15	PST	383	A
USGS	12092000	2021-02-27 06:30	PST	378	A
USGS	12092000	2021-02-27 06:45	PST	383	A
USGS	12092000	2021-02-27 07:00	PST	388	A
USGS	12092000	2021-02-27 07:15	PST	383	A
USGS	12092000	2021-02-27 07:30	PST	383	A
USGS	12092000	2021-02-27 07:45	PST	383	A
USGS	12092000	2021-02-27 08:00	PST	383	A
USGS	12092000	2021-02-27 08:15	PST	378	A
USGS	12092000	2021-02-27 08:30	PST	383	A
USGS	12092000	2021-02-27 08:45	PST	378	A
USGS	12092000	2021-02-27 09:00	PST	383	A
USGS	12092000	2021-02-27 09:15	PST	378	A
USGS	12092000	2021-02-27 09:30	PST	373	A
USGS	12092000	2021-02-27 09:45	PST	378	A
USGS	12092000	2021-02-27 10:00	PST	378	A
USGS	12092000	2021-02-27 10:15	PST	373	A
USGS	12092000	2021-02-27 10:30	PST	378	A
USGS	12092000	2021-02-27 10:45	PST	378	A
USGS	12092000	2021-02-27 11:00	PST	378	A
USGS	12092000	2021-02-27 11:15	PST	373	A
USGS	12092000	2021-02-27 11:30	PST	378	A
USGS	12092000	2021-02-27 11:45	PST	383	A
USGS	12092000	2021-02-27 12:00	PST	373	A
USGS	12092000	2021-02-27 12:15	PST	373	A
USGS	12092000	2021-02-27 12:30	PST	373	A
USGS	12092000	2021-02-27 12:45	PST	373	A
USGS	12092000	2021-02-27 13:00	PST	368	A
USGS	12092000	2021-02-27 13:15	PST	368	A
USGS	12092000	2021-02-27 13:30	PST	368	A
USGS	12092000	2021-02-27 13:45	PST	368	A
USGS	12092000	2021-02-27 14:00	PST	373	A
USGS	12092000	2021-02-27 14:15	PST	373	A
USGS	12092000	2021-02-27 14:30	PST	368	A
USGS	12092000	2021-02-27 14:45	PST	368	A
USGS	12092000	2021-02-27 15:00	PST	373	A
USGS	12092000	2021-02-27 15:15	PST	368	A
USGS	12092000	2021-02-27 15:30	PST	373	A
USGS	12092000	2021-02-27 15:45	PST	363	A
USGS	12092000	2021-02-27 16:00	PST	368	A
USGS	12092000	2021-02-27 16:15	PST	368	A
USGS	12092000	2021-02-27 16:30	PST	363	A
USGS	12092000	2021-02-27 16:45	PST	373	A
USGS	12092000	2021-02-27 17:00	PST	363	A
USGS	12092000	2021-02-27 17:15	PST	363	A
USGS	12092000	2021-02-27 17:30	PST	363	A
USGS	12092000	2021-02-27 17:45	PST	363	A
USGS	12092000	2021-02-27 18:00	PST	353	A
USGS	12092000	2021-02-27 18:15	PST	363	A
USGS	12092000	2021-02-27 18:30	PST	363	A
USGS	12092000	2021-02-27 18:45	PST	358	A
USGS	12092000	2021-02-27 19:00	PST	358	A
USGS	12092000	2021-02-27 19:15	PST	363	A
USGS	12092000	2021-02-27 19:30	PST	358	A
USGS	12092000	2021-02-27 19:45	PST	358	A
USGS	12092000	2021-02-27 20:00	PST	363	A
USGS	12092000	2021-02-27 20:15	PST	353	A
USGS	12092000	2021-02-27 20:30	PST	353	A
USGS	12092000	2021-02-27 20:45	PST	353	A
USGS	12092000	2021-02-27 21:00	PST	358	A
USGS	12092000	2021-02-27 21:15	PST	353	A
USGS	12092000	2021-02-27 21:30	PST	353	A
USGS	12092000	2021-02-27 21:45	PST	353	A
USGS	12092000	2021-02-27 22:00	PST	353	A
USGS	12092000	2021-02-27 22:15	PST	353	A
USGS	12092000	2021-02-27 22:30	PST	343	A
USGS	12092000	2021-02-27 22:45	PST	353	A
USGS	12092000	2021-02-27 23:00	PST	353	A
USGS	12092000	2021-02-27 23:15	PST	353	A
USGS	12092000	2021-02-27 23:30	PST	348	A
USGS	12092000	2021-02-27 23:45	PST	348	A
USGS	12092000	2021-02-28 00:00	PST	348	A
USGS	12092000	2021-02-28 00:15	PST	353	A
USGS	12092000	2021-02-28 00:30	PST	348	A
USGS	12092000	2021-02-28 00:45	PST	358	A
USGS	12092000	2021-02-28 01:00	PST	348	A
USGS	12092000	2021-02-28 01:15	PST	348	A
USGS	12092000	2021-02-28 01:30	PST	348	A
USGS	12092000	2021-02-28 01:45	PST	348	A
USGS	12092000	2021-02-28 02:00	PST	353	A
USGS	12092000	2021-02-28 02:15	PST	348	A
USGS	12092000	2021-02-28 02:30	PST	348	A
USGS	12092000	2021-02-28 02:45	PST	353	A
USGS	12092000	2021-02-28 03:00	PST	348	A
USGS	12092000	2021-02-28 03:15	PST	348	A
USGS	12092000	2021-02-28 03:30	PST	348	A
USGS	12092000	2021-02-28 03:45	PST	348	A
USGS	12092000	2021-02-28 04:00	PST	348	A
USGS	12092000	2021-02-28 04:15	PST	348	A
USGS	12092000	2021-02-28 04:30	PST	348	A
USGS	12092000	2021-02-28 04:45	PST	353	A
USGS	12092000	2021-02-28 05:00	PST	343	A
USGS	12092000	2021-02-28 05:15	PST	343	A
USGS	12092000	2021-02-28 05:30	PST	343	A
USGS	12092000	2021-02-28 05:45	PST	348	A
USGS	12092000	2021-02-28 06:00	PST	348	A
USGS	12092000	2021-02-28 06:15	PST	343	A
USGS	12092000	2021-02-28 06:30	PST	338	A
USGS	12092000	2021-02-28 06:45	PST	343	A
USGS	12092000	2021-02-28 07:00	PST	343	A
USGS	12092000	2021-02-28 07:15	PST	338	A
USGS	12092000	2021-02-28 07:30	PST	343	A
USGS	12092000	2021-02-28 07:45	PST	343	A
USGS	12092000	2021-02-28 08:00	PST	343	A
USGS	12092000	2021-02-28 08:15	PST	343	A
USGS	12092000	2021-02-28 08:30	PST	348	A
USGS	12092000	2021-02-28 08:45	PST	343	A
USGS	12092000	2021-02-28 09:00	PST	338	A
USGS	12092000	2021-02-28 09:15	PST	343	A
USGS	12092000	2021-02-28 09:30	PST	343	A
USGS	12092000	2021-02-28 09:45	PST	328	A
USGS	12092000	2021-02-28 10:00	PST	338	A
USGS	12092000	2021-02-28 10:15	PST	333	A
USGS	12092000	2021-02-28 10:30	PST	343	A
USGS	12092000	2021-02-28 10:45	PST	343	A
USGS	12092000	2021-02-28 11:00	PST	338	A
USGS	12092000	2021-02-28 11:15	PST	333	A
USGS	12092000	2021-02-28 11:30	PST	333	A
USGS	12092000	2021-02-28 11:45	PST	333	A
USGS	12092000	2021-02-28 12:00	PST	338	A
USGS	12092000	2021-02-28 12:15	PST	348	A
USGS	12092000	2021-02-28 12:30	PST	338	A
USGS	12092000	2021-02-28 12:45	PST	343	A
USGS	12092000	2021-02-28 13:00	PST	343	A
USGS	12092000	2021-02-28 13:15	PST	343	A
USGS	12092000	2021-02-28 13:30	PST	343	A
USGS	12092000	2021-02-28 13:45	PST	343	A
USGS	12092000	2021-02-28 14:00	PST	343	A
USGS	12092000	2021-02-28 14:15	PST	343	A
USGS	12092000	2021-02-28 14:30	PST	343	A
USGS	12092000	2021-02-28 14:45	PST	343	A
USGS	12092000	2021-02-28 15:00	PST	343	A
USGS	12092000	2021-02-28 15:15	PST	338	A
USGS	12092000	2021-02-28 15:30	PST	343	A
USGS	12092000	2021-02-28 15:45	PST	343	A
USGS	12092000	2021-02-28 16:00	PST	348	A
USGS	12092000	2021-02-28 16:15	PST	343	A
USGS	12092000	2021-02-28 16:30	PST	348	A
USGS	12092000	2021-02-28 16:45	PST	343	A
USGS	12092000	2021-02-28 17:00	PST	348	A
USGS	12092000	2021-02-28 17:15	PST	343	A
USGS	12092000	2021-02-28 17:30	PST	343	A
USGS	12092000	2021-02-28 17:45	PST	348	A
USGS	12092000	2021-02-28 18:00	PST	348	A
USGS	12092000	2021-02-28 18:15	PST	353	A
USGS	12092000	2021-02-28 18:30	PST	338	A
USGS	12092000	2021-02-28 18:45	PST	348	A
USGS	12092000	2021-02-28 19:00	PST	333	A
USGS	12092000	2021-02-28 19:15	PST	348	A
USGS	12092000	2021-02-28 19:30	PST	348	A
USGS	12092000	2021-02-28 19:45	PST	343	A
USGS	12092000	2021-02-28 20:00	PST	338	A
USGS	12092000	2021-02-28 20:15	PST	343	A
USGS	12092000	2021-02-28 20:30	PST	343	A
USGS	12092000	2021-02-28 20:45	PST	343	A
USGS	12092000	2021-02-28 21:00	PST	333	A
USGS	12092000	2021-02-28 21:15	PST	338	A
USGS	12092000	2021-02-28 21:30	PST	338	A
USGS	12092000	2021-02-28 21:45	PST	343	A
USGS	12092000	2021-02-28 22:00	PST	338	A
USGS	12092000	2021-02-28 22:15	PST	338	A
USGS	12092000	2021-02-28 22:30	PST	333	A
USGS	12092000	2021-02-28 22:45	PST	338	A
USGS	12092000	2021-02-28 23:00	PST	333	A
USGS	12092000	2021-02-28 23:15	PST	338	A
USGS	12092000	2021-02-28 23:30	PST	333	A
USGS	12092000	2021-02-28 23:45	PST	333	A
USGS	12092000	2021-03-01 00:00	PST	333	A
USGS	12092000	2021-03-01 00:15	PST	328	A
USGS	12092000	2021-03-01 00:30	PST	328	A
USGS	12092000	2021-03-01 00:45	PST	338	A
USGS	12092000	2021-03-01 01:00	PST	328	A
USGS	12092000	2021-03-01 01:15	PST	333	A
USGS	12092000	2021-03-01 01:30	PST	328	A
USGS	12092000	2021-03-01 01:45	PST	328	A
USGS	12092000	2021-03-01 02:00	PST	333	A
USGS	12092000	2021-03-01 02:15	PST	333	A
USGS	12092000	2021-03-01 02:30	PST	324	A
USGS	12092000	2021-03-01 02:45	PST	333	A
USGS	12092000	2021-03-01 03:00	PST	328	A
USGS	12092000	2021-03-01 03:15	PST	324	A
USGS	12092000	2021-03-01 03:30	PST	333	A
USGS	12092000	2021-03-01 03:45	PST	328	A
USGS	12092000	2021-03-01 04:00	PST	324	A
USGS	12092000	2021-03-01 04:15	PST	328	A
USGS	12092000	2021-03-01 04:30	PST	328	A
USGS	12092000	2021-03-01 04:45	PST	324	A
USGS	12092000	2021-03-01 05:00	PST	328	A
USGS	12092000	2021-03-01 05:15	PST	324	A
USGS	12092000	2021-03-01 05:30	PST	328	A
USGS	12092000	2021-03-01 05:45	PST	328	A
USGS	12092000	2021-03-01 06:00	PST	328	A
USGS	12092000	2021-03-01 06:15	PST	319	A
USGS	12092000	2021-03-01 06:30	PST	319	A
USGS	12092000	2021-03-01 06:45	PST	319	A
USGS	12092000	2021-03-01 07:00	PST	324	A
USGS	12092000	2021-03-01 07:15	PST	319	A
USGS	12092000	2021-03-01 07:30	PST	324	A
USGS	12092000	2021-03-01 07:45	PST	324	A
USGS	12092000	2021-03-01 08:00	PST	314	A
USGS	12092000	2021-03-01 08:15	PST	324	A
USGS	12092000	2021-03-01 08:30	PST	319	A
USGS	12092000	2021-03-01 08:45	PST	319	A
USGS	12092000	2021-03-01 09:00	PST	319	A
USGS	12092000	2021-03-01 09:15	PST	324	A
USGS	12092000	2021-03-01 09:30	PST	324	A
USGS	12092000	2021-03-01 09:45	PST	324	A
USGS	12092000	2021-03-01 10:00	PST	324	A
USGS	12092000	2021-03-01 10:15	PST	319	A
USGS	12092000	2021-03-01 10:30	PST	319	A
USGS	12092000	2021-03-01 10:45	PST	324	A
USGS	12092000	2021-03-01 11:00	PST	319	A
USGS	12092000	2021-03-01 11:15	PST	314	A
USGS	12092000	2021-03-01 11:30	PST	324	A
USGS	12092000	2021-03-01 11:45	PST	314	A
USGS	12092000	2021-03-01 12:00	PST	324	A
USGS	12092000	2021-03-01 12:15	PST	328	A
USGS	12092000	2021-03-01 12:30	PST	328	A
USGS	12092000	2021-03-01 12:45	PST	319	A
USGS	12092000	2021-03-01 13:00	PST	324	A
USGS	12092000	2021-03-01 13:15	PST	319	A
USGS	12092000	2021-03-01 13:30	PST	324	A
USGS	12092000	2021-03-01 13:45	PST	319	A
USGS	12092000	2021-03-01 14:00	PST	328	A
USGS	12092000	2021-03-01 14:15	PST	324	A
USGS	12092000	2021-03-01 14:30	PST	324	A
USGS	12092000	2021-03-01 14:45	PST	319	A
USGS	12092000	2021-03-01 15:00	PST	328	A
USGS	12092000	2021-03-01 15:15	PST	324	A
USGS	12092000	2021-03-01 15:30	PST	319	A
USGS	12092000	2021-03-01 15:45	PST	324	A
USGS	12092000	2021-03-01 16:00	PST	319	A
USGS	12092000	2021-03-01 16:15	PST	328	A
USGS	12092000	2021-03-01 16:30	PST	324	A
USGS	12092000	2021-03-01 16:45	PST	319	A
USGS	12092000	2021-03-01 17:00	PST	324	A
USGS	12092000	2021-03-01 17:15	PST	324	A
USGS	12092000	2021-03-01 17:30	PST	319	A
USGS	12092000	2021-03-01 17:45	PST	324	A
USGS	12092000	2021-03-01 18:00	PST	324	A
USGS	12092000	2021-03-01 18:15	PST	319	A
USGS	12092000	2021-03-01 18:30	PST	319	A
USGS	12092000	2021-03-01 18:45	PST	324	A
USGS	12092000	2021-03-01 19:00	PST	319	A
